B-00067,1,Brinco fumê oval com cristais preto e fu,114.50,249.00,,kg,71171900,Brinco,0.230,,
B-00068,1,Brinco fumê oval com 9 cristais rosa den,144.50,249.00,,kg,71171900,Brinco,0.220,,
B-00069,1,Brinco dourado com base e pendente oval ,24.50,53.00,,kg,71171900,Brinco,0.009,,
B-00071,1,Brinco dourado com pendende de leque,32.00,75.00,,kg,71171900,Brinco,0.015,,
B-00072,1,Brinco dourado com canutilho grande e pe,34.50,75.00,,kg,71171900,Brinco,0.013,,
B-00073,1,Brinco dourado com pendende gota e detal,44.50,97.00,,kg,71171900,Brinco,0.018,,
B-00074,1,Brinco dourado com cristal losango verde,49.50,108.00,,kg,71171900,Brinco,0.014,,
B-00075,1,Brinco dourado com cristal losango marro,44.50,108.00,,kg,71171900,Brinco,0.015,,
B-00076,1,Brinco dourado com base de zirconias bra,69.50,151.00,,kg,71171900,Brinco,0.017,,
B-00077,1,Brinco dourado com base de zirconias bra,69.50,151.00,,kg,71171900,Brinco,0.016,,
B-00078,1,Brinco dourado com cristal fumê gota bas,89.50,195.00,,kg,71171900,Brinco,0.025,,
B-00079,1,Brinco fumê com cristal verde e roxo,89.50,195.00,,kg,71171900,Brinco,1.000,,
B-00080,1,Brinco dourado base gota de cristal rosa,74.50,162.00,,kg,71171900,Brinco,0.019,,
B-00081,1,Brinco fumê base gota de cristal leitoso,74.50,162.00,,kg,71171900,Brinco,0.014,,
B-00082,2,Brinco fumê com base de cristal oval ver,12.90,140.00,,kg,71171900,Brinco,0.015,,
B-00083,2,Brinco fumê com pendente de gotas,99.00,108.00,,kg,71171900,Brinco,0.015,,
B-00084,1,Brinco dourado com pendente de gotas,49.50,108.00,,kg,71171900,Brinco,0.017,,
B-00085,1,Brinco fumê base gota e pendente gota gr,44.50,97.00,,kg,71171900,Brinco,0.018,,
B-00086,1,Brinco fumê com cristal rosa gota e pend,104.50,227.00,,kg,71171900,Brinco,0.015,,
B-00087,1,Brinco fumê base com cristal losango e p,59.50,129.00,,kg,71171900,Brinco,0.022,,
B-00088,1,Brinco fumê base gota e pingente redondo,45.50,108.00,,kg,71171900,Brinco,0.018,,
B-00089,1,Brinco fumê com pendende de leque,32.00,70.00,,kg,71171900,Brinco,0.010,,
B-00090,1,Brinco fumê gota com cristal verde ,29.50,173.00,,kg,71171900,Brinco,0.170,,
